報告年度:2021,議題:溫室氣體排放,,,,,,,,,,,
公司代號,公司名稱,直接(範疇一)溫室氣體排放量-數據(公噸CO₂e),直接(範疇一)溫室氣體排放量-資料邊界,直接(範疇一)溫室氣體排放量-確信範圍,能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e),能源間接(範疇二)溫室氣體排放量-資料邊界,能源間接(範疇二)溫室氣體排放量-確信範圍,其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e),其他間接(範疇三)溫室氣體排放量-資料邊界,其他間接(範疇三)溫室氣體排放量-確信範圍,溫室氣體排放密集度-密集度(噸CO2e/單位),溫室氣體排放密集度-單位
1218,泰山,3097.185,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,ISO14064-1                                                                                                                                                                                              ,6394.411,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,ISO14064-1                                                                                                                                                                                              ,1795.678,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,ISO14064-1                                                                                                                                                                                              ,1.1011,營業額
1219,福壽,6960.1954,資料涵蓋範圍母公司兩個主要生產廠域,ISO 14064,10597.8797,資料涵蓋範圍母公司兩個主要生產廠域,ISO 14064,4052.1123,資料涵蓋範圍母公司兩個主要生產廠域,ISO 14064,1.6,營業額
1220,台榮,15926.7915,本公司雲林廠,,15347.2564,本公司雲林廠,,無，無統計相關數據,,,1900.4624,營業額(億元)                                                                                                                                                                                            
1225,福懋油,2392.59,涵蓋範圍:僅母公司,,2318.64,涵蓋範圍:僅母公司,,無，無統計相關數據,,,無，無統計相關數據,
1227,佳格,8844,佳格母公司,,11921,佳格母公司,,無，無統計相關數據,,,0.017,萬元營業額                                                                                                                                                                                              
1229,聯華,1315.32,"母公司-聯華實業投資控股(股)公司以及 子公司-聯華製粉食品(股)公司、聯華置產(股)公司",ISO 14064-1:2018                                                                                                                                                                                        ,14868.51,"母公司-聯華實業投資控股(股)公司以及 子公司-聯華製粉食品(股)公司、聯華置產(股)公司",ISO 14064-1:2018                                                                                                                                                                                        ,3014.27,"母公司-聯華實業投資控股(股)公司以及 子公司-聯華製粉食品(股)公司、聯華置產(股)公司",ISO 14064-1:2018                                                                                                                                                                                        ,2.57,營業額;單位為新台幣佰萬元                                                                                                                                                                               
1231,聯華食,7847.94,臺灣地區的總公司及各工廠之所有營運相關之活動,,15704.24,臺灣地區的總公司及各工廠之所有營運相關之活動,,無，尚未進行盤查,,,2.4782,百萬營業額                                                                                                                                                                                              
1232,大統益,4089.6208,僅母公司,ISO 14064,112170.8936,僅母公司,ISO 14064,無，無統計相關數據,,,0.1249,黃豆總加工量                                                                                                                                                                                            
1233,天仁,無，110年度尚未針對範疇一進行溫室氣體盤查,,,2617,本公司天仁茶業股份有限公司直營單位,,無，無統計相關數據,,,2.0646,分母以營業額為百萬元之計算                                                                                                                                                                              
1234,黑松,9166.63,台北總公司、中壢廠與斗六廠,ISO 14064-1：2018                                                                                                                                                                                       ,15150.75,台北總公司、中壢廠與斗六廠,ISO 14064-1：2018                                                                                                                                                                                       ,6256.43,台北總公司、中壢廠與斗六廠,ISO 14064-1：2018                                                                                                                                                                                       ,0.16,產品
1235,興泰,919.2922,依108年製成排放量檢測結果換算110年母子公司排放量,,181.634,依110年台灣電力公司記錄排放量資訊之母子公司排放量,,無，無統計相關數據,,,0.0268,營業額
1236,宏亞,2878.027,母公司,,6477.88,母公司,,無，無統計相關數據,,,5.31,營業額
1256,鮮活果汁-KY,3076.7318,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,GRI Standards                                                                                                                                                                                           ,15070.9039,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,GRI Standards                                                                                                                                                                                           ,775.8442,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,,0.0041,營業額
1301,台塑,3966548,母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.66,ISO 14064,4668706,母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.66,ISO 14064,11332873,母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.66,ISO 14064,6205.4,範疇一+範疇二/當年度個體財報營收(億元)，請參閱本公司2021年永續報告書P.66                                                                                                                                
1303,南亞,2499081,揭露母公司110年度溫室氣體排放量。,ISO 14064,3636122,揭露母公司110年度溫室氣體排放量。,ISO 14064,14868345,揭露母公司110年度溫室氣體排放量。,ISO 14064,0.028,單位:噸CO2e/110年個體營業額(千元)；其他說明：本次申報之營業額均以母公司當期個體營收(千元)計算。                                                                                                         
1304,台聚,16383.8,台聚高雄廠,ISO 14064,131602.71,台聚高雄廠,ISO 14064,186.55,台聚高雄廠,ISO 14064,0.595,產品
1305,華夏,158309.26,華夏頭份廠、華聚林園廠、台氯林園廠。,ISO 14064,227328.96,華夏頭份廠、華聚林園廠、台氯林園廠。,ISO 14064,無，定性說明。因實質性不易歸類及量化，目前以組織地理邊界範圍內非屬本公司所有之排放源為主，並且只進行定性盤查工作。,,,0.34,產品
1307,三芳,10395.64,母公司,ISO 14064,23791.92,母公司,ISO 14064,無，無統計相關數據,,,44.98,百萬營業額                                                                                                                                                                                              
1308,亞聚,10133.69,亞聚林園廠,ISO 14064,102834.27,亞聚林園廠,ISO 14064,231370.03,亞聚林園廠,ISO 14064,0.83,產品
1309,台達化,14935,前鎮廠、林園廠、頭份廠、中山廠,,75481,前鎮廠、林園廠、頭份廠、中山廠,,無，無統計相關數據,,,2.702,產品
1310,台苯,331800.81,台苯高雄廠,ISO 14064,33435.71,台苯高雄廠,ISO 14064,無，僅進行排放源鑑別，無量化。,,,0.957,產品
1312,國喬,526801.9867,國喬石油化學股份有限公司高雄廠,ISO 14064,14043.1488,國喬石油化學股份有限公司高雄廠,ISO 14064,無，無統計相關數據,,,29.21,營業額
1313,聯成,28627.8097,聯成林園廠,ISO 14064,10938.5049,聯成林園廠,ISO 14064,無，無統計相關數據,,,無，無統計相關數據,
1314,中石化,1703474,僅母公司,ISO 14064,204332,僅母公司,ISO 14064,1758458,僅母公司,ISO 14064,0.0001,"範疇1+2=1,907,806公噸CO2e，營業收入：35,163,380仟元                                                                                                                                                     "
1315,達新,無，非規範對象,,,3160,母公司,,無，無統計相關數據,,,無，無統計相關數據,
1316,上曜,151.516,僅母公司,,134.974,僅母公司,,無，無統計相關數據,,,無，無統計相關數據,
1319,東陽,9736.21,母公司,,49926.15,母公司,,無，無統計相關數據,,,4.34,百萬營業額                                                                                                                                                                                              
1321,大洋,4313,母公司,,41425,母公司,,無，無統計相關數據,,,0.3222,產品
1323,永裕,543.99,"永裕塑膠:227.46噸 上海永裕:309.91噸 威瑪精密:6.62噸",,33421.473,"台灣永裕:13498.83噸 上海永裕:19856.753噸 威瑪精密:65.89噸",,3246.73,僅 母公司台灣永裕,,0.0072,台灣永裕 13726.28(噸)/1907428千元=0.0072                                                                                                                                                                
1324,地球,無，目前已由輔導公司協助輔導執行ISO14064-1溫室氣體盤查作業。,,,無，目前已由輔導公司協助輔導執行ISO14064-1溫室氣體盤查作業。,,,無，目前已由輔導公司協助輔導執行ISO14064-1溫室氣體盤查作業。,,,無，目前已由輔導公司協助輔導執行ISO14064-1溫室氣體盤查作業。,
1325,恆大,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1326,台化,5398217.25,資料係110年度母公司及台醋經第三方查證數據。,ISO 14064,3265112.7,資料係110年母公司及台醋經第三方查證數據。,ISO 14064,18701609.82,資料係110年母公司及台醋經第三方查證數據。,ISO 14064,3423.77,營業額億元                                                                                                                                                                                              
1337,再生-KY,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1338,廣華-KY,1635.28,僅重要子公司東莞廣澤汽車飾件有限公司,,26860.57,僅重要子公司東莞廣澤汽車飾件有限公司,,0,僅重要子公司東莞廣澤汽車飾件有限公司,,0.0003,產品
1339,昭輝,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1340,勝悅-KY,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1341,富林-KY,8387,僅子公司同奈廠,Higg Index (FEM)                                                                                                                                                                                        ,9043.8,僅子公司同奈廠,Higg Index (FEM)                                                                                                                                                                                        ,無，無統計相關數據,,,1.1393,產品
1342,八貫,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1402,遠東新,1341000,統計範疇共21個生產據點,,1145000,統計範疇共21個生產據點,,8211000,統計範疇共20個生產據點(遠東服裝(蘇州)預計搬遷，故未盤查範疇三數據),,0.32,產品
1409,新纖,112287.86,新光合纖中壢廠,ISO 14064,177128.39,新光合纖中壢廠,ISO 14064,無，無統計相關數據,,,15.31,營業額
1410,南染,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1413,宏洲,19626,僅母公司,,46167,僅母公司,,無，無統計相關數據,,,0.436,產品
1414,東和,0,本公司,,15865,本公司,,0,本公司,,無，無統計相關數據,
1416,廣豐,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1417,嘉裕,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1418,東華,32.8251,僅母公司,環保署溫室氣體查證指引 ；經濟部工業局溫室氣體排放管理及輔導計畫                                                                                                                                         ,786.405,僅母公司,環保署溫室氣體查證指引 ；經濟部工業局溫室氣體排放管理及輔導計畫                                                                                                                                         ,無，範疇3是針對本公司其他的委外活動所產生的其他間接排放， 排放源是由其他公司所擁有或控制的。因實質性不易歸類及 量化，只定性種類，進行鑑別之工作。,,環保署溫室氣體查證指引 ；經濟部工業局溫室氣體排放管理及輔導計畫                                                                                                                                         ,無，本公司(廠)110年度壓克力纖維(棉)製程生產停工。,
1419,新紡,無，無統計相關數據,,,14227,母公司生產單位,,無，無統計相關數據,,,0.0021,產品
1423,利華,1036,母公司,,無，無統計相關數據,,,無，無統計相關數據,,,0,營業額
1432,大魯閣,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1434,福懋,254487,台灣廠區,ISO 14064,93266,台灣廠區,ISO 14064,無，2021年度溫室氣體範疇3尚在盤查中,,,14.22,營業額 百萬元(新台幣)                                                                                                                                                                                   
1435,中福,無，無生產活動,,,729,僅母公司,,無，無相關排放,,,60.75,無生產活動，以平均每月用電量計算                                                                                                                                                                        
1436,華友聯,無，詳年報說明,,,52.96,僅母公司,,無，無統計相關數據,,,無，無統計相關數據,
1437,勤益控,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1438,三地開發,無，詳年報說明,,,無，詳年報說明,,,無，詳年報說明,,,無，詳年報說明,
1439,雋揚,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1440,南紡,60595.7301,"仁德廠,太子廠",ISO 14064,83942.244,"仁德廠,太子廠",ISO 14064,677495.123,"仁德廠,太子廠",ISO 14064,2.64,產量公噸                                                                                                                                                                                                
1441,大東,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1442,名軒,22.93,母公司,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1443,立益物流,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1444,力麗,129795.75,力麗化纖總廠,ISO 14064,60693.04,力麗化纖總廠,ISO 14064,無，無統計相關數據,,,0.4003,產品
1445,大宇,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1446,宏和,無，無相關排放設備,,,276.9,母公司,,無，無相關排放設備,,,無，無相關排放設備,
1447,力鵬,94305.5,母公司楊梅廠及尼龍廠,ISO 14064,144960.7,母公司楊梅廠及尼龍廠,ISO 14064,無，無統計相關數據,,,無，依產品別驗證，無法提供單一數據,
1449,佳和,7735.997,母公司,,67643.234,母公司,,無，無統計相關數據,,,8.024,產品
1451,年興,無，尚在盤查中，預計於2022/08統計出母公司之排放量。,,,無，尚在盤查中，預計於2022/08統計出母公司之排放量。,,,無，無統計相關數據,,,無，尚在盤查中，預計於2022/08統計出母公司之排放量。,
1452,宏益,9.765,包含合併財務報表之母子公司,,26761.62,包含合併財務報表之母子公司,,無，無統計相關數據,,,0.9389,產品
1453,大將,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1454,台富,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1455,集盛,36994.75,母公司之5個紡織製品製造廠區,ISO 14064,151731.04,母公司之5個紡織製品製造廠區,ISO 14064,23895.34,母公司之5個紡織製品製造廠區,ISO 14064,0.81,產品
1456,怡華,7735.997,台南官田廠,,67643.234,台南官田廠,,無，尚未執行,,,8.024,服務
1457,宜進,18,僅母公司,,59,僅母公司,,無，無統計相關數據,,,3.85,員工人數                                                                                                                                                                                                
1459,聯發,0,工廠,,28659,工廠,,無，無統計相關數據,,,1.1885,產品
1460,宏遠,75930.54,母公司,ISO 14064,62616.83,母公司,ISO 14064,無，無統計相關數據,,,9.09,產品
1463,強盛新,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1464,得力,38863.84,僅母公司,ISO 14064,32999.01,僅母公司,ISO 14064,無，無統計相關數據,,,13.54,產品
1465,偉全,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1466,聚隆,0,母公司,,50952.99,母公司(電力),,無，無統計相關數據,,,3.37,產品
1467,南緯,無，無統計相關數據,,,444.753,母公司,,無，無統計相關數據,,,無，詳永續報告書,
1468,昶和,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1470,大統新創,35668,合併財務報表之母子公司之桃園廠區,,6331,合併財務報表之母子公司之桃園廠區,,無，無統計相關數據,,,5.8,產量                                                                                                                                                                                                    
1471,首利,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1472,三洋實業,無，本公司於5/11董事會剛通過溫室氣體排放，目前因組織尚未完整，尚未決定由何單位及何種方式進行此一數據收集。,,,無，本公司於5/11董事會剛通過溫室氣體排放，目前因組織尚未完整，尚未決定由何單位及何種方式進行此一數據收集。,,,無，本公司於5/11董事會剛通過溫室氣體排放，目前因組織尚未完整，尚未決定由何單位及何種方式進行此一數據收集。,,,無，本公司於5/11董事會剛通過溫室氣體排放，目前因組織尚未完整，尚未決定由何單位及何種方式進行此一數據收集。,
1473,台南,7001.09,包含合併財務報表之母子公司,,6442.34,包含合併財務報表之母子公司,,無，無統計相關數據,,,0.0007,產品
1474,弘裕,4088,母公司,,16057,母公司,,無，無統計相關數據,,,無，無統計相關數據,
1475,業旺,無，詳年報說明,,,無，詳年報說明,,,無，詳年報說明,,,無，詳年報說明,
1476,儒鴻,30530.355,包含合併財務報表之母子公司,ISO 14064,96382.2382,包含合併財務報表之母子公司,ISO 14064,2570.838,包含合併財務報表之母子公司,ISO 14064,0.0035,營業額
1477,聚陽,0,台北總公司,ISO 14064,638.24,台北總公司,ISO 14064,無，2021年度資料目前在盤查中，將於2022年底前查證完成並取得查證聲明書,,ISO 14064,0.0221,營業額(百萬元)                                                                                                                                                                                          
1503,士電,2087.88,"環境面資訊以母公司之電裝廠、新豐廠、重電廠為主， 不包含台北總公司。",,18949.09,"環境面資訊以母公司之電裝廠、新豐廠、重電廠為主， 不包含台北總公司。",,無，無統計相關數據,,,0.7597,百萬元營業額                                                                                                                                                                                            
1504,東元,19905.2541,台灣所有廠區,ISO 14064,27000.6547,台灣所有廠區,ISO 14064,22735295.01,「上游運輸及配送」以2021東元台灣廠區採購量計算、「採購商品與服務」以2021東元台灣及大陸廠區採購量計算、「營運產生之廢棄物」以2021東元廠區廢棄物產生量計算、「銷售產品之使用」依據2021年全球銷售馬達數量計算  ，其中銷售產品之使用採估算，未經BSI查證 ；其餘皆經查證。,ISO 14064,2.04,營業額
1506,正道,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1512,瑞利,2228,母公司,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1513,中興電,406.536,母公司110年度,,5044.55,母公司110年度,,無，無統計相關數據,,,0.3024,營業額
1514,亞力,無，無統計相關數據,,,2136.5662,母公司,,無，無統計相關數據,,,無，無統計相關數據,
1515,力山,無，資料尚在驗證,,,無，資料尚在驗證,,,無，資料尚在驗證,,,無，資料尚在驗證,
1516,川飛,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1517,利奇,5870,母公司,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1519,華城,375.4879,僅母公司,,4576.8674,僅母公司,,91.5922,僅母公司,,0.8025,產品
1521,大億,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1522,堤維西,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1524,耿鼎,無，無統計相關數據,母公司,,7074.518,母子公司,,無，無統計相關數據,,,0.6102,產能總重                                                                                                                                                                                                
1525,江申,991,僅母公司,,2742,僅母公司,,無，無統計相關數據,,,2.93,百萬元營業額                                                                                                                                                                                            
1526,日馳,159.36,母公司,,1132.61,母公司,,無，無統計相關數據,,,0.987,營運成本新台幣仟元為單位                                                                                                                                                                                
1527,鑽全,無，預計2023年第1季完成盤查,,,11648.9,全公司,,無，預計2023年第1季完成盤查,,,無，預計2023年第1季完成盤查,
1528,恩德,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1529,樂事綠能,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1530,亞崴,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1531,高林股,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1532,勤美,3715.126,勤美金屬成型事業處,ISO 14064,19223.321,勤美金屬成型事業處,ISO 14064,32732.667,勤美金屬成型事業處,ISO 14064,1.0058,產品
1533,車王電,1947.633,母公司,,1833.5291,母公司,,無，無統計相關數據,,,1948,產值                                                                                                                                                                                                    
1535,中宇,無，本公司乃工程統包服務非屬製造業，故無法取得相關數據。,,,265.917,僅母公司,,164.346,僅母公司,,0.56,坪                                                                                                                                                                                                      
1536,和大,1681.1321,僅母公司,ISO 14064,45534.3073,僅母公司,ISO 14064,10234.9942,僅母公司,ISO 14064,3.6494,百萬營業額                                                                                                                                                                                              
1537,廣隆,4684.15,包含合併財務報表之母子公司,,51375.48,包含合併財務報表之母子公司,,無，無統計相關數據,,,103.42,仟元營業額/噸                                                                                                                                                                                           
1538,正峰,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1539,巨庭,88.37,母公司,,967.38,母公司,,無，無統計相關數據,,,1055.75,營業額
1540,喬福,6.88,個體公司,,117.97,個體公司,,無，無統計相關數據,,,無，無統計相關數據,
1541,錩泰,2239,僅母公司,,5186,僅母公司,,無，僅進行排放源鑑別，無盤查相關數據。,,,0.0012,營業額
1558,伸興,2120,合併財務報表之母子公司,,18492,合併財務報表之母子公司,,113302,合併財務報表之母子公司,,0.0054,產品
1560,中砂,4055.13,母公司,ISO 14064,40397.29,母公司,ISO 14064,無，無統計相關數據,,,8.13,百萬元營業額                                                                                                                                                                                            
1563,巧新,,,N/A,N/A,N/A,N/A,,,N/A,,
1568,倉佑,105.9379,僅母公司,,4615.9603,僅母公司,,"無，資料收集不易,尚在收集統計中",,,3.9484,百萬營業額                                                                                                                                                                                              
1582,信錦,無，無統計相關數據,,,201,母公司,,無，無統計相關數據,,,無，無統計相關數據,
1583,程泰,128.43,母公司,,2201,母公司,,無，無統計相關數據,,,無，無統計相關數據,
1587,吉茂,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1589,永冠-KY,4934.01,合併財務報表之子公司,,127868.18,合併財務報表之子公司,,無，無統計相關數據,,,0.64,產品
1590,亞德客-KY,8227,包含集團全部的三個生產工廠，已涵蓋集團90%以上之排放量,,125129,包含集團全部的三個生產工廠，已涵蓋集團90%以上之排放量,,無，無統計相關數據,,,8.4445,每百萬元產值                                                                                                                                                                                            
1597,直得,97.43,母公司,,4787.7,母公司,,960.68,母公司,,15.3,每百萬營業額                                                                                                                                                                                            
1598,岱宇,434.68,本公司彰化一廠、二廠與五廠,,1848.44,本公司彰化一廠、二廠與五廠,,無，無統計相關數據,,,0.0003,營業額仟元                                                                                                                                                                                              
1603,華電,無，規劃中,,,無，規劃中,,,無，規劃中,,,無，規劃中,
1604,聲寶,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1605,華新,201262.02,"臺灣區：楊梅廠、新莊廠、鹽水廠、臺中廠。 海外區：東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密",ISO 14064,414803.74,"臺灣區：楊梅廠、新莊廠、鹽水廠、臺中廠。 海外區：東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密",ISO 14064,2408341.62,母公司,ISO 14064,0.46,產品
1608,華榮,1298.3,涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區,,15564.2,涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區,,無，無統計相關數據,,,2.3,百萬營業額                                                                                                                                                                                              
1609,大亞,2233.05,大亞電線電纜,,21978.5,大亞電線電纜,,無，無統計相關數據,,,1.78,營業額
1611,中電,87.0199,工廠,,468.46,工廠,,無，無統計相關數據,,,無，無統計相關數據,
1612,宏泰,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1614,三洋電,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1615,大山,無，尚未建立,,,無，尚未建立,,,無，尚未建立,,,無，尚未建立,
1616,億泰,4945,母公司,,無，無統計相關數據,,,無，無統計相關數據,,,1.65,營業額
1617,榮星,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1618,合機,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1623,大東電,,,N/A,N/A,N/A,N/A,,,N/A,,
1626,艾美特-KY,595.35,主要生產公司深圳艾美特,SZDB/ 69-2018 《組織的溫室氣體排放量化和報告指南》、SZDB/ 70-2018 《組織的溫室氣體排放查核指南》、《深圳市碳交易控管單位碳排放查核技術要點》                                                            ,19727.56,主要生產公司深圳艾美特,SZDB/ 69-2018 《組織的溫室氣體排放量化和報告指南》、SZDB/ 70-2018 《組織的溫室氣體排放查核指南》、《深圳市碳交易控管單位碳排放查核技術要點》                                                            ,無，無統計相關數據,,,20322.9,營業額
1702,南僑,74520.9,範疇一資訊涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業,,105527.38,範疇二資訊涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業,,無，無統計相關數據,,,9.07,營業額
1707,葡萄王,3862.04,葡萄王生技、葡眾企業,,14829.39,葡萄王生技、葡眾企業,,無，規劃111年進行盤查,,,3.47,產品
1708,東鹼,23680.4553,僅母公司,,7499.9909,僅母公司,,無，無統計相關數據,,,6.5,百萬營業額                                                                                                                                                                                              
